$C$ FCC auto line data save
$C$ Version 1,2,7M UDP
$C$ Modify Time interval calculation
$H1$ Machine_ID;Barcode;Date;Time;Load cone tray number;Load cone tray position;Oil-Lub Amount;Oil-Lub Visual check;Axial Play Press Number;Axial Play;IPA-Flush Duration;IPA-Flush Visual Check;Galling Dent Visual Check;INT number;INT Cone Duration;INT Cone Visual Check;Oil Up number;Oil Up Amount;Oil Up duration;Oil Up Visual Check;Endcap Up tray number;Endcap Up tray position;Oil Low number;Oil Low Amount;Oil Low duration;Oil Low Visual Check;Endcap Low tray number;Endcap Low tray position;Unload Cycle Time;Failure Code;NG Carrier;Time interval
$H2$ Units;;;;;;mg;;;um;sec;;;;sec;;;mg;sec;;;;;mg;sec;;;;sec;;;sec
$H3$ Spec min;;;;1;1;0.6;;1;12;;;;1;;;1;7.74;;;1;1;1;7.74;;;1;1;;;
3;24X23004520101;2024-10-24;07:39:15;1;166;.46;2;1;13.3;1.50;2;2;2;1.20;2;2;8.16;3.673;3;1;63;1;8.10;5.161;3;1;59;29.43;;C99;6.6
3;24X23004510101;2024-10-24;07:39:21;1;167;.48;2;3;14.7;1.50;2;2;1;1.00;2;1;8.13;4.629;3;1;64;2;8.12;4.644;3;1;60;6.53;;C98;6.4
3;24X23004560101;2024-10-24;07:39:27;1;168;.48;2;2;14.3;1.50;2;2;2;1.20;2;2;8.15;3.667;3;1;65;1;8.10;5.157;3;1;61;6.39;;C97;6.4
3;24X23004420101;2024-10-24;07:39:34;1;169;.47;2;1;14.1;1.50;2;2;1;1.00;2;1;8.13;4.622;3;1;66;2;8.13;4.647;3;1;62;6.41;;C96;6.4
3;24X23004410101;2024-10-24;07:39:40;1;170;.47;2;3;14.3;1.50;2;2;2;1.20;2;2;8.14;3.666;3;1;67;1;8.11;5.158;3;1;63;6.44;;C95;6.4
3;24X23004380101;2024-10-24;07:39:46;1;171;.47;2;2;14.2;1.50;2;2;1;1.00;2;1;8.13;4.625;3;1;68;2;8.12;4.716;3;1;64;6.39;;C94;6.2
3;24X23004330101;2024-10-24;07:39:53;1;172;.47;2;1;13.4;1.50;2;2;2;1.20;2;2;8.16;3.682;3;1;69;1;8.11;5.169;3;1;65;6.24;;C93;6.6
3;24X23004340101;2024-10-24;07:40:00;1;173;.48;2;3;15.1;1.50;2;2;1;1.00;2;1;8.13;4.626;3;1;70;2;8.12;4.643;3;1;66;6.62;;C92;6.5
3;24X23004370101;2024-10-24;07:40:06;1;174;.45;2;2;13.5;1.50;2;2;2;1.20;2;2;8.16;3.679;3;1;71;1;8.10;5.161;3;1;67;6.49;;C91;6.5
3;24X23004350101;2024-10-24;07:40:12;1;175;.47;2;1;12.8;1.50;2;2;1;1.00;2;1;8.13;4.629;3;1;72;2;8.12;4.637;3;1;68;6.46;;C90;6.3
3;24X23004390101;2024-10-24;07:40:20;1;176;.47;2;3;14.2;1.50;2;2;2;1.20;2;2;.0;.0;0;0;0;0;.0;.0;0;0;0;6.31;TOP_OIL2_NG_CAMERA_BEFORE_OIL_FILL;C89;7.4
3;24X23004360101;2024-10-24;07:40:26;1;177;.47;2;2;13.9;1.50;2;2;1;1.00;2;1;.0;.0;0;0;0;0;.0;.0;0;0;0;7.43;TOP_OIL1_NG_CAMERA_BEFORE_OIL_FILL;C88;6.4
3;24X23004400101;2024-10-24;07:40:32;1;178;.46;2;1;13.2;1.50;2;2;2;1.20;2;2;8.14;3.686;3;1;73;1;8.10;5.158;3;1;69;6.44;;C87;5.6
3;24X23004430101;2024-10-24;07:40:38;1;179;.49;2;3;14.6;1.50;2;2;1;1.00;2;1;8.14;4.639;3;1;74;2;8.12;4.700;3;1;70;5.57;;C86;6.4
3;24X23004440101;2024-10-24;07:40:45;1;180;.45;2;2;14.1;1.50;2;2;2;1.20;2;2;8.14;3.688;3;1;75;1;8.11;5.147;3;1;71;6.44;;C85;6.6
3;24X23003260101;2024-10-24;07:40:52;1;181;.45;2;1;13.8;1.50;2;2;1;1.00;2;1;8.14;4.628;3;1;76;2;8.12;4.638;3;1;72;6.48;;C84;6.9
3;24X23003280101;2024-10-24;07:40:58;1;182;.47;2;3;14.6;1.50;2;2;2;1.20;2;2;8.16;3.679;3;1;77;1;8.12;5.145;3;1;73;6.94;;C83;6.3
3;24X23003250101;2024-10-24;07:41:05;1;183;.48;2;2;14.4;1.50;2;2;1;1.00;2;1;8.13;4.627;3;1;78;2;8.12;4.636;3;1;74;6.35;;C82;6.6
3;24X23003270101;2024-10-24;07:41:12;1;184;.47;2;1;13.5;1.50;2;2;2;1.20;2;2;8.16;3.681;3;1;79;1;8.11;5.143;3;1;75;6.62;;C81;7.1
3;24X23003220101;2024-10-24;07:41:18;1;185;.46;2;3;14.2;1.50;2;2;1;1.00;2;1;8.13;4.630;3;1;80;2;8.12;4.639;3;1;76;7.12;;C80;6.4
3;24X23003330101;2024-10-24;07:41:25;1;186;.45;2;2;14.7;1.50;2;2;2;1.20;2;2;8.14;3.676;3;1;81;1;8.11;5.144;3;1;77;6.42;;C123;6.6
3;24X23003340101;2024-10-24;07:41:32;1;187;.47;2;1;14.1;1.50;2;2;1;1.00;2;1;8.13;4.625;3;1;82;2;8.12;4.638;3;1;78;6.62;;C78;7.3
3;24X23003290101;2024-10-24;07:41:39;1;188;.46;2;3;15.1;1.50;2;2;2;1.20;2;2;8.17;3.672;3;1;83;1;8.12;5.146;3;1;79;7.27;;C77;6.5
3;24X23003350101;2024-10-24;07:41:45;1;190;.47;2;1;13.7;1.50;2;2;1;1.00;2;1;8.13;4.627;3;1;84;2;8.12;4.639;3;1;80;6.53;;C76;6.4
